# MIDI note/CC name map
65 Small Boxes (Brushes)
64 Small Boxes (Brushes)
62 Small Boxes (Brushes)
60 Small Boxes (Brushes)
59 Small Boxes (Brushes)
57 Small Boxes (Brushes)
55 Large Boxes (Brushes)	
53 Large Boxes (Brushes)
52 Medium Boxes (Brushes)
50 Medium Boxes (Brushes)
48 Medium Boxes (Brushes)
47 Medium Boxes (Brushes)
45 Large Boxes (Brushes)
43 Large Boxes (Brushes)
41 Large Boxes (Brushes)
40 Large Boxes (Brushes)
38 Large Boxes (Brushes)
36 Large Boxes (Brushes)
